Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Nybygging
Akurhvarf 3,Kópavogi,49900000,45450000,40240000,0,Fjölbýli,2005,105.3,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Garðhús 53,Reykjavík,53500000,45550000,37000000,0,Fjölbýli,1991,114.3,4,2,2,1,Sérinngangur,Já,Nei / Ekki vitað
Svöluhöfði 7,Mosfellsbæ,108500000,89300000,66340000,0,Einbýli,2001,217.5,6,4,2,1,Sérinngangur,Já,Nei / Ekki vitað
Rjúpnasalir 10,Kópavogi,48900000,43750000,36390000,0,Fjölbýli,2003,94,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Dalbrekka 23,Kópavogi,62900000,60400000,34510000,0,Fjölbýli,1984,187.8,4,2,2,2,Sérinngangur,Já,Nei / Ekki vitað
Sólvallagata 33,Reykjavík,38900000,41400000,20050000,0,Fjölbýli,1928,67.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Hraunbær 103,Reykjavík,55900000,42550000,34950000,0,Fjölbýli,1990,112.1,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Ennishvarf 8,Kópavogi,159900000,146050000,165850000,0,Einbýli,2006,541.1,8,6,2,3,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Ögurhvarf 4D,Kópavogi,72900000,26350000,0,0,Fjölbýli,2019,144.2,4,3,1,2,Sérinngangur,Nei / Ekki vitað,Já
Tjarnargata 10,Reykjavík,59700000,51750000,31600000,0,Fjölbýli,1945,106.9,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Ögurhvarf 4D,Kópavogi,72900000,27700000,0,0,Fjölbýli,2019,147.2,4,3,1,2,Sérinngangur,Nei / Ekki vitað,Já
Ögurhvarf 4C,Kópavogi,84900000,26650000,0,0,Einbýli,2019,127.9,5,4,1,0,Ekki vitað,Nei / Ekki vitað,Já
Ögurhvarf 4C,Kópavogi,72900000,29500000,0,0,Fjölbýli,2019,151.1,4,3,1,2,Sérinngangur,Nei / Ekki vitað,Já
Bjarkargrund 14,Akranesi,64900000,57450000,57590000,0,Einbýli,1974,177.2,6,4,2,2,Tveir inngangar,Já,Nei / Ekki vitað
Suðurhólar 18,Reykjavík,33900000,32050000,23100000,0,Fjölbýli,1979,74.6,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Öldugrandi 9,Reykjavík,43900000,38850000,29200000,0,Fjölbýli,1982,93.6,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Kirkjuteigur 31,Reykjavík,35900000,33500000,20450000,0,Fjölbýli,1947,68,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
MÁNAMÖRK 3-5,Hveragerði,48500000,29800000,53800000,0,Atvinnuhúsnæði,2008,218.3,0,0,0,0,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Gagnheiði 17,Selfossi,34600000,2440000,0,0,Atvinnuhúsnæði,1978,219.7,2,0,0,0,Margir inngangar,Nei / Ekki vitað,Nei / Ekki vitað
Gagnheiði 17,Selfossi,32500000,2410000,0,0,Atvinnuhúsnæði,1978,217.1,2,0,0,0,Margir inngangar,Nei / Ekki vitað,Nei / Ekki vitað
Grundarstígur 11,Reykjavík,29900000,31050000,17650000,0,Fjölbýli,1919,59.2,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Gagnheiði 17,Selfossi,200000000,2440000,0,0,Atvinnuhúsnæði,1978,1305,2,0,0,0,Margir inngangar,Nei / Ekki vitað,Já
Hafnarbraut 13 B,Kópavogi,74900000,30550000,0,0,Fjölbýli,2019,136.2,4,3,1,2,Ekki vitað,Já,Já
Hafnarbraut 13 B,Kópavogi,67900000,25400000,0,0,Fjölbýli,2019,119.4,4,3,1,1,Sameiginlegur,Já,Já
Hafnarbraut 13 A,Kópavogi,69900000,25350000,0,0,Fjölbýli,2019,118,4,3,1,1,Ekki vitað,Já,Já
Hafnarbraut 13 A,Kópavogi,41900000,16700000,0,0,Fjölbýli,2019,60.6,2,1,1,1,Ekki vitað,Já,Já
Hafnarbraut 13 A,Kópavogi,74900000,28950000,0,0,Fjölbýli,2019,144.4,4,3,1,1,Ekki vitað,Já,Já
Hafnarbraut 13 A,Kópavogi,67900000,25200000,0,0,Fjölbýli,2019,117.4,4,3,1,1,Ekki vitað,Já,Já
Hafnarbraut 13 A,Kópavogi,68900000,6260000,0,0,Fjölbýli,0,135.3,4,3,1,1,Sameiginlegur,Já,Já
Hafnarbraut 13 A,Kópavogi,72900000,25800000,0,0,Fjölbýli,2019,118.9,4,3,1,1,Sameiginlegur,Já,Já
Hafnarbraut 15 C,Kópavogi,83900000,7470000,0,0,Fjölbýli,0,174.4,5,3,2,2,Sameiginlegur,Já,Já
Hafnarbraut 15 C,Kópavogi,79900000,7190000,0,0,Fjölbýli,0,165.1,5,3,2,2,Sameiginlegur,Já,Já
Hafnarbraut 15 C,Kópavogi,71900000,6120000,0,0,Fjölbýli,0,129.2,4,3,1,2,Sameiginlegur,Já,Já
