Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Kvíslartunga 106,Mosfellsbæ,86900000,76600000,75010000,0,Par/Raðhús,2009,237.8,7,5,2,3,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Akurhvarf 3,Kópavogi,49900000,45450000,40240000,0,Fjölbýli,2005,105.3,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Fannborg 1,Kópavogi,28900000,23900000,14400000,0,Fjölbýli,1978,40,1,NA,NA,NA,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Eskivellir 11,Hafnarfirði,42200000,3250000,0,0,Fjölbýli,NA,84.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Eskivellir 11,Hafnarfirði,42200000,3210000,0,0,Fjölbýli,NA,82.8,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Eskivellir 11,Hafnarfirði,42200000,3250000,0,0,Fjölbýli,NA,84.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Eskivellir 11,Hafnarfirði,42400000,3250000,0,0,Fjölbýli,NA,84.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Eskivellir 11,Hafnarfirði,42200000,3250000,0,0,Fjölbýli,NA,84.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Garðhús 53,Reykjavík,53500000,45550000,37000000,0,Fjölbýli,1991,114.3,4,2,2,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Nýbýlavegur 8 Portið,Kópavogi,NA,0,0,0,atv,NA,55,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Nýbýlavegur  6,Kópavogi,NA,0,0,0,atv,NA,542,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Borgartún 27,Reykjavík,NA,0,0,0,atv,NA,150,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vegmúli 2,Reykjavík,NA,0,0,0,atv,NA,285,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Svöluhöfði 7,Mosfellsbæ,108500000,89300000,66340000,0,Einbýli,2001,217.5,6,4,2,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Rjúpnasalir 10,Kópavogi,48900000,43750000,36390000,0,Fjölbýli,2003,94,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalbrekka 23,Kópavogi,62900000,60400000,34510000,0,Fjölbýli,1984,187.8,4,2,2,2,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Sólvallagata 33,Reykjavík,38900000,41400000,20050000,0,Fjölbýli,1928,67.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Borgartún 27,Reykjavík,NA,0,0,0,atv,2003,150,0,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunbær 103,Reykjavík,55900000,42550000,34950000,0,Fjölbýli,1990,112.1,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Ennishvarf 8,Kópavogi,159900000,146050000,165850000,0,Einbýli,2006,541.1,8,6,2,3,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Ögurhvarf 4D,Kópavogi,72900000,26350000,0,0,Fjölbýli,2019,144.2,4,3,1,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Tjarnargata 10,Reykjavík,59700000,51750000,31600000,0,Fjölbýli,1945,106.9,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
